idade,principio_ativo,quantidade_vendida,ano
40,AZITROMICINA DI-HIDRATADA,59,2020
34,AZITROMICINA DI-HIDRATADA,59,2020
25,AZITROMICINA DI-HIDRATADA,59,2020
35,AZITROMICINA DI-HIDRATADA,59,2020
35,AZITROMICINA DI-HIDRATADA,59,2020
31,AZITROMICINA DI-HIDRATADA,58,2020
28,AZITROMICINA DI-HIDRATADA,58,2020
64,AZITROMICINA DI-HIDRATADA,58,2020
20,AZITROMICINA DI-HIDRATADA,58,2020
32,AZITROMICINA DI-HIDRATADA,58,2020
27,AZITROMICINA DI-HIDRATADA,58,2020
30,AZITROMICINA DI-HIDRATADA,58,2020
29,AZITROMICINA DI-HIDRATADA,58,2020
42,AZITROMICINA DI-HIDRATADA,58,2020
37,AZITROMICINA DI-HIDRATADA,57,2020
39,AZITROMICINA DI-HIDRATADA,57,2020
25,AZITROMICINA DI-HIDRATADA,57,2020
35,AZITROMICINA DI-HIDRATADA,57,2020
35,AZITROMICINA DI-HIDRATADA,57,2020
32,AZITROMICINA DI-HIDRATADA,57,2020
38,AZITROMICINA DI-HIDRATADA,56,2020
29,AZITROMICINA DI-HIDRATADA,56,2020
34,AZITROMICINA DI-HIDRATADA,56,2020
37,AZITROMICINA DI-HIDRATADA,56,2020
45,AZITROMICINA DI-HIDRATADA,56,2020
36,AZITROMICINA DI-HIDRATADA,56,2020
37,AZITROMICINA DI-HIDRATADA,56,2020
29,AZITROMICINA DI-HIDRATADA,56,2020
26,AZITROMICINA DI-HIDRATADA,55,2020
40,AZITROMICINA DI-HIDRATADA,55,2020
42,AZITROMICINA DI-HIDRATADA,55,2020
33,AZITROMICINA DI-HIDRATADA,55,2020
30,AZITROMICINA DI-HIDRATADA,55,2020
35,AZITROMICINA DI-HIDRATADA,55,2020
45,AZITROMICINA DI-HIDRATADA,55,2020
32,AZITROMICINA DI-HIDRATADA,55,2020
29,AZITROMICINA DI-HIDRATADA,55,2020
28,AZITROMICINA DI-HIDRATADA,55,2020
30,AZITROMICINA DI-HIDRATADA,55,2020
22,AZITROMICINA DI-HIDRATADA,55,2020
28,AZITROMICINA DI-HIDRATADA,55,2020
42,AZITROMICINA DI-HIDRATADA,55,2020
38,AZITROMICINA DI-HIDRATADA,54,2020
25,AZITROMICINA DI-HIDRATADA,54,2020
44,AZITROMICINA DI-HIDRATADA,54,2020
43,AZITROMICINA DI-HIDRATADA,54,2020
38,AZITROMICINA DI-HIDRATADA,54,2020
39,AZITROMICINA DI-HIDRATADA,54,2020
34,AZITROMICINA DI-HIDRATADA,54,2020
29,AZITROMICINA DI-HIDRATADA,54,2020
29,AZITROMICINA DI-HIDRATADA,54,2020
39,AZITROMICINA DI-HIDRATADA,54,2020
33,AZITROMICINA DI-HIDRATADA,53,2020
37,AZITROMICINA DI-HIDRATADA,53,2020
49,AZITROMICINA DI-HIDRATADA,53,2020
40,AZITROMICINA DI-HIDRATADA,53,2020
29,AZITROMICINA DI-HIDRATADA,53,2020
52,AZITROMICINA DI-HIDRATADA,53,2020
39,AZITROMICINA DI-HIDRATADA,53,2020
47,AZITROMICINA DI-HIDRATADA,53,2020
40,AZITROMICINA DI-HIDRATADA,53,2020
30,AZITROMICINA DI-HIDRATADA,53,2020
56,AZITROMICINA DI-HIDRATADA,53,2020
41,AZITROMICINA DI-HIDRATADA,53,2020
50,AZITROMICINA DI-HIDRATADA,53,2020
25,AZITROMICINA DI-HIDRATADA,53,2020
